"","Transect","Oribatids","Mesostigmatids","Prostigmatid","Collembola","Other arachnids","...7","...8","...9","...10","...11","shannon_index","species_richness","species_evenness","total_abundance"
"1",0,0,1,3,2,0,1.0114043,3,0.9206198,6,NA,1.27811429458868,4,0.921964577246194,7.0114043
"2",1,1,1,5,3,1,2,1.4241299,5,0.8848617,12,1.42412991734677,5,0.884861668999043,12
"3",1,2,1,4,6,0,0,0.9164649,3,0.8342023,11,0.916464885539471,3,0.834202288644101,11
"4",1,3,3,1,2,4,1,1.4681399,5,0.9122066,11,1.46813993901621,5,0.912206632932989,11
"5",1,4,4,4,2,1,1,1.4451859,5,0.8979445,12,1.44518587894808,5,0.897944473522682,12
"6",2,0,1,0,0,0,0,0,1,NA,1,0,1,NA,1
"7",2,1,0,2,0,1,0,0.6365142,2,0.9182958,3,0.636514168294813,2,0.918295834054489,3
"8",2,2,1,1,1,2,2,1.549826,5,0.9629611,7,1.5498260458782,5,0.962961064794514,7
"9",2,3,1,3,1,1,0,1.2424533,4,0.8962406,6,1.242453324894,4,0.896240625180289,6
"10",2,4,2,2,2,1,2,1.5810938,5,0.9823888,9,1.58109375017182,5,0.982388781795621,9
"11",3,0,0,3,4,0,0,0.6829081,2,0.9852281,7,0.682908104700472,2,0.985228136034252,7
"12",3,1,0,1,2,1,2,1.3296613,4,0.9591479,6,1.32966134885476,4,0.959147917027245,6
"13",3,2,0,2,3,3,1,1.3107837,4,0.9455306,9,1.31078367809971,4,0.945530556036326,9
"14",3,3,6,4,5,1,2,1.4609707,5,0.9077522,18,1.46097074772182,5,0.907752163929241,18
"15",3,4,7,7,0,1,2,1.1491524,4,0.8289382,17,1.14915237653302,4,0.82893821742498,17
"16",4,0,0,0,1,3,4,0.9743148,3,0.8868595,8,0.974314752869349,3,0.886859507142915,8
"17",4,1,1,3,4,1,1,1.4184837,5,0.8813535,10,1.41848366194566,5,0.881353453268883,10
"18",4,2,1,2,2,0,5,1.2206073,4,0.880482,10,1.22060726455302,4,0.880482023721841,10
"19",4,3,3,0,1,3,4,1.2945452,4,0.9338169,11,1.2945451658449,4,0.933816945485606,11
"20",4,4,4,4,5,4,3,1.5968043,5,0.9921503,20,1.59680433547332,5,0.992150317285817,20
